path	size	sha256	blob_oid	scan_status	scanners
model-00028-of-00141.safetensors	5361736648	68d45c421cac6851303032f5ea4c93d74be84e70b8418ceb0d58fd0d95e2e46b	e86383f276a18338465b4774b67cd90236246cfe	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00029-of-00141.safetensors	5366353560	fa8915c4907c0deca57944f8582d907898c82333c326f6d86690f82a5f8e825d	edd476f0b19607c50640fe2fa1d7deb0651bfd56	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00030-of-00141.safetensors	5361736512	128b570a6fb59ae7b153f0da4cf713b1087aa89c6977a376fd359b72086256f2	300e894348c38f2608d7598ab184025b48ae2f2f	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00031-of-00141.safetensors	5366353688	aea2c91014901cd0a30283943cdae4bf7686a8fd6d3c56d37f5b6389feacf6e3	bac06d2291d929866c4f2d6906040337228b6df4	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00032-of-00141.safetensors	5361736376	aa6396111a23f21191ab964d456e039562aee26415c193eee66818a65e371157	54c20064b17be32183ed928a59c5f7e4a8c6aa62	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00033-of-00141.safetensors	5363339440	eea8bf4e723abc1a409fbd3fcf3cd3cd26eb76d7684a5a5c288019bea102c9c1	abea797a44656caae16bcf7c2aab82f006ea0687	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00034-of-00141.safetensors	5361736240	140be56abe6eb707904e920186acde09f6f68a2516a05de8c0cddf74d31794b3	3392b6c1750befa6a386de1382ce18cc97b517f1	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00035-of-00141.safetensors	5366353976	0409d47af586afbf624ce3719cf045931dbb2077a0cbc09a49a2eeb1b86ece86	169a2f2630d34e98984208cf9b6cdca5edc5e5be	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00036-of-00141.safetensors	5366353488	85a859f10feb4c501e884e6b8ce55271b9e9ff3678a01ccd44c098acc1a44dd0	4cef057592216b9cadb2ad349d7c4e83ccb76576	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00037-of-00141.safetensors	5361736696	94482035358945bdb4e22d4de84229db613f9e1130ee54c7b8eb8dd5183639b5	d91b773d5446c2281d181aef25c63e9b99a5f14c	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00038-of-00141.safetensors	5366353304	6b90a5d73bdd88fca82b3f7e173143d4d47a7e7c70d13b00ea2fae5d7ccb9dfc	347045c87c166de6521c65c5875b2efea6275b2d	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00039-of-00141.safetensors	5361735832	1dd05deff86bb3522953f76d38a11886484609350d73e6271d1c96a06c69e6ea	061b764b372d84dc32c03e15bba87a4204f69c55	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00040-of-00141.safetensors	5366353016	4ae0969cb9eb6afab66b747fe6a440fe053a9db97f0d51ed0786353a9cabda78	4e3ab6656465ef8256c667f6a24db6275adaeece	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00041-of-00141.safetensors	5361736552	d1cf4c756326aae74b455b8af67a1b01f7aba179b00c8c745dd88d5ea6168a9c	fa7d8fe5815ddc8e89c55cc3b2f25843effa0897	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00042-of-00141.safetensors	5363339264	ec7f6d4e9ed6914ac23f56479df90591f83ab19eb694d6d890f1a4c9b5bfcbfc	142a0f0f69f90c3cf34c1d50511f4647dc738bd1	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00043-of-00141.safetensors	5361736416	14c66c8e7eedb3b9a8d380e6b07addc61a7b8fbda5161279bf2b2ebb7ae3869c	137bc83147bf570e7af6e9a224034a7bbae9d8d6	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
model-00044-of-00141.safetensors	5366353776	f31755fee2c07bc621792319725228669d409d1e1c707308bd05feab58e750c8	a4a1c0acc291383d033f0beba48b8515ee11efbf	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=safe
